key,Code,Faction,Class,KB,D,HK,DD,HD,Honor,Rol,Win
434,BG6,Horde,Warrior,9,0,47,61047,8097,558,dps,1.0
435,BG6,Alliance,Demon Hunter,0,8,0,52850,5448,187,dps,0.0
436,BG6,Horde,Demon Hunter,3,0,37,51960,2985,388,dps,1.0
437,BG6,Horde,Warrior,0,0,48,89098,12649,560,dps,1.0
438,BG6,Horde,Shaman,0,0,32,2971,39918,528,heal,1.0
439,BG6,Alliance,Demon Hunter,0,6,0,44644,6760,172,dps,0.0
440,BG6,Horde,Death Knight,9,0,46,71646,16102,556,dps,1.0
441,BG6,Alliance,Druid,0,1,0,0,32218,142,heal,0.0
442,BG6,Horde,Mage,2,0,30,33017,5245,374,dps,1.0
443,BG6,Alliance,Monk,0,4,0,1110,24319,187,heal,0.0
444,BG6,Alliance,Warlock,0,9,0,71967,24561,187,dps,0.0
445,BG6,Horde,Demon Hunter,1,0,17,10280,915,498,dps,1.0
446,BG6,Alliance,Death Knight,0,2,0,14892,14134,142,dps,0.0
447,BG6,Horde,Mage,4,0,48,61508,4299,560,dps,1.0
448,BG6,Alliance,Demon Hunter,0,0,0,872,445,187,dps,0.0
449,BG6,Horde,Paladin,11,0,47,54087,15989,558,dps,1.0
450,BG6,Horde,Monk,0,0,47,10568,127000,558,heal,1.0
451,BG6,Alliance,Priest,0,5,0,4206,37555,187,heal,0.0
452,BG6,Alliance,Warrior,0,1,0,1818,0,127,dps,0.0
453,BG6,Alliance,Death Knight,0,2,0,5683,5309,187,dps,0.0
454,BG7,Alliance,Warrior,3,4,21,41100,23172,778,dps,1.0
455,BG7,Horde,Druid,0,5,12,1118,99044,145,heal,0.0
456,BG7,Horde,Hunter,4,4,16,33017,6854,150,dps,0.0
457,BG7,Horde,Hunter,4,1,26,22624,7012,174,dps,0.0
458,BG7,Alliance,Warlock,8,3,30,38779,17181,817,dps,1.0
459,BG7,Horde,Hunter,5,3,22,41010,7769,161,dps,0.0
460,BG7,Alliance,Rogue,3,2,19,24494,7590,561,dps,1.0
461,BG7,Horde,Shaman,1,5,10,5254,50267,138,heal,0.0
462,BG7,Alliance,Shaman,1,3,27,30826,9849,584,dps,1.0
463,BG7,Horde,Mage,3,4,21,22158,12842,159,dps,0.0
464,BG7,Horde,Mage,0,7,13,36633,6862,143,dps,0.0
465,BG7,Alliance,Mage,2,4,9,38542,4321,743,dps,1.0
466,BG7,Alliance,Paladin,13,1,34,86224,25128,832,dps,1.0
467,BG7,Horde,Hunter,1,5,10,54158,9919,135,dps,0.0
468,BG7,Horde,Druid,1,2,13,13693,20245,144,heal,0.0
469,BG7,Horde,Demon Hunter,7,5,22,111000,15850,167,dps,0.0
470,BG7,Alliance,Paladin,5,1,29,59524,26524,589,dps,1.0
471,BG7,Alliance,Shaman,1,2,29,7425,51759,583,heal,1.0
472,BG7,Alliance,Paladin,1,4,7,46376,15261,733,dps,1.0
473,BG7,Alliance,Death Knight,2,3,25,61206,22649,790,dps,1.0
474,BG8,Horde,Warlock,3,0,22,48823,14259,670,dps,1.0
475,BG8,Horde,Warrior,3,3,17,48932,15757,667,dps,1.0
476,BG8,Horde,Mage,4,1,29,24388,2596,683,dps,1.0
477,BG8,Alliance,Priest,1,4,9,17734,8223,288,dps,0.0
478,BG8,Horde,Mage,6,1,24,67905,7930,670,dps,1.0
479,BG8,Horde,Warrior,6,1,21,53403,16902,674,dps,1.0
480,BG8,Alliance,Priest,3,5,7,36252,16261,281,dps,0.0
481,BG8,Horde,Shaman,0,2,27,10925,68694,680,heal,1.0
482,BG8,Horde,Hunter,5,0,15,21996,0,656,dps,1.0
483,BG8,Alliance,Paladin,0,2,5,5778,5784,258,heal,0.0
484,BG8,Alliance,Druid,0,1,11,1256,84714,297,heal,0.0
485,BG8,Alliance,Paladin,0,5,6,51890,12249,278,dps,0.0
486,BG8,Horde,Druid,4,2,23,55751,13024,669,dps,1.0
487,BG8,Horde,Paladin,0,1,27,6631,55709,679,heal,1.0
488,BG8,Alliance,Warrior,2,4,7,27514,4503,281,dps,0.0
489,BG8,Alliance,Monk,2,4,9,40972,26314,290,dps,0.0
490,BG8,Alliance,Mage,2,2,11,43490,11718,297,dps,0.0
491,BG8,Horde,Shaman,4,2,25,61060,1578,673,dps,1.0
492,BG8,Alliance,Hunter,0,1,5,12015,4128,242,dps,0.0
493,BG9,Alliance,Hunter,5,5,20,73062,12905,989,dps,1.0
494,BG9,Horde,Death Knight,4,7,30,95493,29129,296,dps,0.0
495,BG9,Alliance,Druid,0,4,45,224,215000,1077,heal,1.0
496,BG9,Horde,Druid,2,3,28,49531,13027,291,dps,0.0
497,BG9,Alliance,Warrior,4,3,26,63651,31561,1007,dps,1.0
498,BG9,Horde,Shaman,1,7,28,8938,99399,290,heal,0.0
499,BG9,Horde,Mage,7,5,28,127000,23979,293,dps,0.0
500,BG9,Horde,Warrior,3,5,25,44336,6910,296,dps,0.0
501,BG9,Alliance,Rogue,11,3,35,45332,8293,1037,dps,1.0
502,BG9,Alliance,Warrior,6,4,38,100000,12070,1048,dps,1.0
503,BG9,Alliance,Mage,8,3,39,96730,7997,1054,dps,1.0
504,BG9,Horde,Monk,0,5,28,3990,101000,289,heal,0.0
505,BG9,Alliance,Warlock,8,5,38,86617,52555,1054,dps,1.0
506,BG9,Horde,Paladin,9,4,35,192000,46517,315,dps,0.0
507,BG9,Horde,Death Knight,5,5,25,70827,20915,289,dps,0.0
508,BG9,Horde,Warrior,2,7,21,52432,4377,279,dps,0.0
509,BG9,Alliance,Rogue,4,2,35,58944,4813,1035,dps,1.0
510,BG9,Horde,Death Knight,4,4,16,39249,26497,276,dps,0.0
511,BG9,Alliance,Shaman,1,4,35,44200,142000,698,heal,1.0
512,BG9,Alliance,Warlock,3,7,25,82345,29406,672,dps,1.0
513,BG10,Horde,Hunter,4,0,8,28773,3928,336,dps,1.0
514,BG10,Horde,Druid,0,0,22,1818,179000,514,heal,1.0
515,BG10,Horde,Demon Hunter,4,0,21,66986,7942,514,dps,1.0
516,BG10,Alliance,Hunter,0,2,0,16669,4304,172,dps,0.0
517,BG10,Alliance,Hunter,0,4,7,50752,13190,190,dps,0.0
518,BG10,Horde,Shaman,0,2,19,10968,88406,512,heal,1.0
519,BG10,Alliance,Warrior,1,0,2,12938,2906,179,dps,0.0
520,BG10,Alliance,Warrior,1,3,3,8580,3849,183,dps,0.0
521,BG10,Alliance,Druid,0,1,3,61503,755,182,dps,0.0
522,BG10,Horde,Warlock,3,2,21,57596,20110,514,dps,1.0
523,BG10,Horde,Warlock,3,0,20,71472,17020,516,dps,1.0
524,BG10,Alliance,Paladin,0,2,1,0,56983,160,heal,0.0
525,BG10,Alliance,Warlock,3,3,9,96378,29466,197,dps,0.0
526,BG10,Horde,Warrior,5,2,14,49937,14438,378,dps,1.0
527,BG10,Horde,Paladin,4,1,21,69992,25463,362,dps,1.0
528,BG10,Alliance,Priest,1,2,5,27113,77543,185,heal,0.0
529,BG10,Alliance,Druid,0,4,3,3724,6158,183,heal,0.0
530,BG10,Horde,Demon Hunter,4,2,21,40051,6659,363,dps,1.0
531,BG10,Alliance,Warrior,1,2,3,17515,410,182,dps,0.0
532,BG10,Horde,Demon Hunter,1,1,21,26795,1614,512,dps,1.0
533,BG11,Horde,Death Knight,1,0,14,17038,11942,347,dps,1.0
534,BG11,Horde,Hunter,0,0,14,31409,2725,497,dps,1.0
535,BG11,Horde,Paladin,2,0,21,27294,15874,511,dps,1.0
536,BG11,Horde,Warrior,6,1,16,23478,2245,501,dps,1.0
537,BG11,Horde,Warrior,6,1,18,26419,5497,497,dps,1.0
538,BG11,Horde,Paladin,2,0,21,1838,52741,511,heal,1.0
539,BG11,Alliance,Paladin,0,2,3,55422,11236,166,dps,0.0
540,BG11,Horde,Shaman,0,0,15,8015,64070,351,heal,1.0
541,BG11,Horde,Warrior,1,2,14,23118,2056,349,dps,1.0
542,BG11,Horde,Demon Hunter,1,0,21,21644,10471,511,dps,1.0
543,BG11,Horde,Warrior,1,0,9,9409,1033,489,dps,1.0
544,BG11,Alliance,Hunter,1,1,3,8058,2416,167,dps,0.0
545,BG11,Alliance,Rogue,0,1,2,4373,1069,166,dps,0.0
546,BG11,Alliance,Hunter,1,1,1,6121,1327,161,dps,0.0
547,BG11,Alliance,Monk,1,5,3,31448,14585,167,dps,0.0
548,BG11,Alliance,Hunter,0,6,4,31924,5502,171,dps,0.0
549,BG12,Horde,Warrior,3,4,8,38457,5352,146,dps,0.0
